ID,Region_ELE4,Tamaño_ELE4,GlosaCIIU_ELE4,Basic,Mngt,CCM,Core,Cloud,Sec,Non-system,Invsuppliers,Infosearch,Custcomm,E-goverm,Non-website,Co&Good-Info,Contact-form,Orders,Payment,Orderinvent,Delivery,Aftersales,Advertising,Docexch,Recruit
108034,13,Pequeña 2,Explotación de Minas y Canteras,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
102452,5,Micro,Industrias Manufactureras,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107862,13,Micro,Transporte y Almacenamiento,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
105406,7,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
102704,15,Pequeña 2,Transporte y Almacenamiento,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
107776,13,Pequeña 2,Otros servicios,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0
101850,14,Pequeña 2,"Agricultura , Ganadería, Silvicultura y Pesca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110088,14,Pequeña 2,Construcción,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
102445,5,Pequeña 1,Actividades de alojamiento y de servicio de comidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101567,4,Pequeña 2,Construcción,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100479,11,Grande,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
100879,2,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108961,13,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100537,5,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100641,2,Pequeña 1,Explotación de Minas y Canteras,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109708,13,Micro,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103066,11,Pequeña 2,Transporte y Almacenamiento,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
106598,12,Micro,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101365,13,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
101119,3,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
100542,4,Pequeña 2,Explotación de Minas y Canteras,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101330,13,Pequeña 2,Transporte y Almacenamiento,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
105418,5,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105152,5,Micro,Actividades de alojamiento y de servicio de comidas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
